station,Kandilli_pick_time,Phasenet-EQCCT-EQTransformer_Average_pick_time,Phasenet_score,EQCCT_score,EQTransformer_score
CEYT,09:01:49.800,09:01:48.815,0.37013486,0.185,0.33
CEYT,09:01:49.800,09:01:48.940,0.37013486,0.454,0.33
CEYT,09:01:49.800,09:01:48.947,0.37013486,0.386,0.33
CEYT,09:01:49.800,09:01:48.947,0.37013486,0.527,0.33
CEYT,09:05:36.300,09:05:36.247,0.357506,0.388,0.85
CEYT,09:05:36.300,09:05:36.247,0.357506,0.465,0.85
CEYT,09:05:36.300,09:05:36.247,0.357506,0.513,0.85
CEYT,09:12:02.100,09:12:02.017,0.6372152,0.936,0.94
CEYT,09:12:02.100,09:12:02.030,0.6372152,0.469,0.94
CEYT,09:12:02.100,09:12:02.045,0.6372152,0.631,0.94
CEYT,09:12:02.100,09:12:02.050,0.6372152,0.599,0.94
CHOM,03:19:18.100,03:19:18.030,0.43413585,0.422,0.25
CHOM,03:19:18.100,03:19:18.030,0.43413585,0.345,0.25
CHOM,03:19:18.100,03:19:18.050,0.43413585,0.429,0.25
CHOM,03:19:18.100,03:19:18.050,0.43413585,0.635,0.25
CHOM,03:19:18.100,03:19:18.055,0.43413585,0.592,0.25
DARE,09:12:08.500,09:12:08.620,0.5918102,0.821,0.68
DARE,09:12:08.500,09:12:08.692,0.5918102,0.194,0.68
DARE,09:12:08.500,09:12:08.777,0.5918102,0.438,0.68
DARE,09:21:14.900,09:21:14.932,0.9178511,0.157,0.87
DARE,09:21:14.900,09:21:14.945,0.9178511,0.315,0.87
DARE,09:21:14.900,09:21:14.955,0.9178511,0.499,0.87
ERZN,09:48:57.600,09:48:57.122,0.85751283,0.694,0.78
ERZN,09:48:57.600,09:48:57.252,0.85751283,0.654,0.78
ERZN,09:48:57.600,09:48:57.252,0.85751283,0.663,0.78
ERZN,09:48:57.600,09:48:57.252,0.85751283,0.52,0.78
GULA,13:59:23.600,13:59:23.355,0.29957592,0.673,0.86
GULA,13:59:23.600,13:59:23.360,0.29957592,0.345,0.86
KARO,03:18:46.900,03:18:46.977,0.98702556,0.146,0.96
KARO,03:18:46.900,03:18:46.977,0.98702556,0.866,0.96
KARO,03:18:46.900,03:18:46.977,0.98702556,0.849,0.96
KARO,03:18:46.900,03:18:46.982,0.98702556,0.859,0.96
KARO,03:18:46.900,03:18:46.985,0.98702556,0.861,0.96
KARO,03:33:36.400,03:33:36.362,0.97802764,0.635,0.56
KARO,03:33:36.400,03:33:36.365,0.97802764,0.847,0.56
KARO,03:33:36.400,03:33:36.365,0.97802764,0.86,0.56
KARO,03:33:36.400,03:33:36.365,0.97802764,0.86,0.56
KARO,03:33:36.400,03:33:36.372,0.97802764,0.86,0.56
KMRS,09:01:53.700,09:01:53.655,0.3004953,0.238,0.69
KMRS,09:01:53.700,09:01:53.660,0.3004953,0.339,0.69
KMRS,09:01:53.700,09:01:53.660,0.3004953,0.384,0.69
KMRS,09:01:53.700,09:01:53.687,0.3004953,0.772,0.69
KMRS,09:11:47.500,09:11:47.245,0.9188046,0.755,0.41
KMRS,09:11:47.500,09:11:47.252,0.9188046,0.809,0.41
KMRS,09:11:47.500,09:11:47.252,0.9188046,0.82,0.41
KMRS,09:11:47.500,09:11:47.255,0.9188046,0.833,0.41
KMRS,09:12:33.200,09:12:33.312,0.93858016,0.749,0.74
KMRS,09:12:33.200,09:12:33.315,0.93858016,0.789,0.74
KMRS,09:12:33.200,09:12:33.315,0.93858016,0.769,0.74
KMRS,09:12:33.200,09:12:33.322,0.93858016,0.745,0.74
KOZT,09:05:34.800,09:05:34.060,0.42814675,0.932,0.68
KOZT,09:05:34.800,09:05:34.092,0.42814675,0.378,0.68
KOZT,09:05:34.800,09:05:34.095,0.42814675,0.36,0.68
KOZT,09:10:35.800,09:10:35.737,0.3082452,0.296,0.78
KOZT,09:10:35.800,09:10:35.742,0.3082452,0.345,0.78
KOZT,09:10:35.800,09:10:35.752,0.3082452,0.397,0.78
KOZT,09:11:59.400,09:11:59.600,0.8182734,0.589,0.52
KOZT,09:11:59.400,09:11:59.675,0.8182734,0.244,0.52
KOZT,09:11:59.400,09:11:59.707,0.8182734,0.606,0.52
KOZT,09:11:59.400,09:11:59.715,0.8182734,0.405,0.52
KOZT,09:34:37.700,09:34:37.080,0.42258987,0.581,0.95
KOZT,09:34:37.700,09:34:37.085,0.42258987,0.507,0.95
KOZT,09:34:37.700,09:34:37.097,0.42258987,0.446,0.95
KOZT,09:36:32.000,09:36:32.305,0.731341,0.253,0.42
KOZT,09:36:32.000,09:36:32.430,0.731341,0.425,0.42
KOZT,09:36:32.000,09:36:32.430,0.731341,0.38,0.42
KOZT,09:36:32.000,09:36:32.507,0.731341,0.688,0.42
KOZT,09:58:43.400,09:58:42.550,0.28122014,0.818,0.66
KOZT,09:58:43.400,09:58:42.560,0.28122014,0.293,0.66
KOZT,09:58:43.400,09:58:42.560,0.28122014,0.285,0.66
SARI,09:10:41.200,09:10:40.555,0.3152649,0.489,0.7
SARI,09:10:41.200,09:10:40.627,0.3152649,0.196,0.7
SARI,09:10:41.200,09:10:40.627,0.3152649,0.182,0.7
SARI,09:12:05.800,09:12:04.947,0.55047184,0.471,0.92
SARI,09:12:05.800,09:12:04.957,0.55047184,0.494,0.92
SARI,09:12:05.800,09:12:04.965,0.55047184,0.952,0.92
SARI,09:12:05.800,09:12:04.965,0.55047184,0.653,0.92
SARI,09:24:11.900,09:24:12.332,0.34468877,0.601,0.14
SARI,09:24:11.900,09:24:12.367,0.34468877,0.173,0.14
SARI,09:36:38.900,09:36:38.910,0.72195965,0.651,0.77
SARI,09:36:38.900,09:36:38.910,0.72195965,0.815,0.77
SARI,09:36:38.900,09:36:38.910,0.72195965,0.758,0.77
SARI,09:36:38.900,09:36:38.942,0.72195965,0.641,0.77
SILT,08:32:20.300,08:32:20.212,0.34007606,0.764,0.32
SILT,08:32:20.300,08:32:20.245,0.34007606,0.377,0.32
SILT,08:32:20.300,08:32:20.245,0.34007606,0.388,0.32
URFA,14:10:34.900,14:10:35.897,0.38793367,0.391,0.9
URFA,14:21:10.200,14:21:11.042,0.93643194,0.792,0.55
URFA,14:21:10.200,14:21:11.042,0.93643194,0.771,0.55
URFA,14:21:10.200,14:21:11.045,0.93643194,0.584,0.55
URFA,14:21:10.200,14:21:11.050,0.93643194,0.703,0.55
URFA,14:27:34.500,14:27:34.847,0.27406734,0.27,0.85
URFA,14:27:34.500,14:27:34.847,0.27406734,0.287,0.85
URFA,14:27:34.500,14:27:34.855,0.27406734,0.237,0.85
URFA,14:51:29.500,14:51:30.315,0.77028483,0.829,0.4
URFA,14:51:29.500,14:51:30.415,0.77028483,0.209,0.4
URFA,14:51:29.500,14:51:30.417,0.77028483,0.388,0.4
URFA,14:51:29.500,14:51:30.417,0.77028483,0.596,0.4
URFA,14:51:29.500,14:51:30.417,0.77028483,0.394,0.4
URFA,14:58:07.600,14:58:08.467,0.6834258,0.724,0.44
URFA,14:58:07.600,14:58:08.600,0.6834258,0.528,0.44
URFA,14:58:07.600,14:58:08.600,0.6834258,0.615,0.44
URFA,14:58:07.600,14:58:08.600,0.6834258,0.443,0.44
YAYX,14:45:27.900,14:45:28.682,0.40117577,0.591,0.89
YAYX,14:45:27.900,14:45:28.685,0.40117577,0.582,0.89
YAYX,14:45:27.900,14:45:28.685,0.40117577,0.597,0.89
YAYX,14:45:27.900,14:45:28.685,0.40117577,0.56,0.89
